#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     43        43       3        489.91         51.24     256547.32      1.28324      2.90144     1.0000     0.0530     0.0530
     43        43       6        433.98         51.24     356743.11      1.83815      3.22069     1.0000     0.0120     0.0120
     43        43       9        397.02         51.24     416017.78      2.34705      3.40195     1.0000     0.0070     0.0070
     43        43      12        357.41         51.24     635906.50      1.85037      2.44446     1.0000     0.0320     0.0320
     43        43      15        340.37         51.24     660238.88      2.60969      2.51043     1.0000     0.0320     0.0320
     43        43      18        349.34         51.24     666634.61      3.27308      2.65793     1.0000     0.0210     0.0210
     44        44       3       1408.04        126.89      93564.59      1.58972      3.51328     1.0000     0.0040     0.0040
     44        44       6       1371.51        126.89     514514.43      2.13531      2.66501     1.0000     0.0390     0.0390
     44        44       9       1293.55        126.89    1002663.51      2.29745      0.68667     1.0000     0.3830     0.3830
     44        44      12       1242.09        126.89     975040.40      1.97172      0.89465     1.0000     0.3130     0.3130
     44        44      15       1202.09        126.89     887872.08      2.34184      1.50926     1.0000     0.1480     0.1480
     44        44      18       1182.60        126.89     889028.02      2.28592      1.61799     1.0000     0.0950     0.0950
     45        45       3       1502.92        316.35     118685.86      1.55655      3.42904     1.0000     0.0140     0.0140
     45        45       6       1439.41        316.35     236180.23      2.36867      3.84848     1.0000     0.0000     0.0000
     45        45       9       1483.78        316.35     431371.97      2.74235      3.51675     1.0000     0.0020     0.0020
     45        45      12       1462.18        316.35     650284.99      3.16293      2.72187     1.0000     0.0210     0.0210
     45        45      15       1372.82        316.35     895248.83      2.58172      1.49133     1.0000     0.1290     0.1290
     45        45      18       1317.69        316.35     830892.26      2.88445      2.02644     1.0000     0.0600     0.0600
     46        46       3        940.71        202.99     719479.77      0.53138      1.36390     1.0000     0.3550     0.3550
     46        46       6        916.25        202.99     882384.99      0.37938      1.02227     1.0000     0.3100     0.3100
     46        46       9        949.95        202.99     895061.47      0.21377      1.12688     1.0000     0.2690     0.2690
     46        46      12        940.76        202.99    1080099.38      0.77305      0.21379     1.0000     0.4910     0.4910
     46        46      15        942.25        202.99     974826.87      0.67191      0.88525     1.0000     0.3040     0.3040
     46        46      18        971.48        202.99     965979.10      1.04310      1.01245     1.0000     0.2330     0.2330
     47        47       3        862.51         22.84     676591.70      0.65898      1.48257     1.0000     0.2900     0.2900
     47        47       6        831.66         22.84     481042.33      0.89641      2.73913     1.0000     0.0320     0.0320
     47        47       9        817.91         22.84     606184.41      0.87703      2.55063     1.0000     0.0330     0.0330
     47        47      12        854.61         22.84     804924.79      0.26984      1.71582     1.0000     0.1060     0.1060
     47        47      15        862.32         22.84    1000964.63      0.52975      0.64821     1.0000     0.3310     0.3310
     47        47      18        841.36         22.84     934078.58      0.90497      1.14941     1.0000     0.1950     0.1950
